name_part_type,year,exam_type,name_part,count,mean_total_score,median_total_score,p25_total_score,p75_total_score,max_total_score
given_name,2014,DH,én,31,13.379,13.75,9.25,16.0,23.25
given_name,2014,DH,út,227,12.5253,12.5,9.25,15.375,26.75
given_name,2014,DH,ý,1721,13.2689,13.25,9.75,16.25,25.25
given_name,2014,DH,Đa,150,12.03,11.875,9.25,14.6875,22.25
given_name,2014,DH,Đam,42,14.7917,15.5,10.8125,18.375,24.25
given_name,2014,DH,Đan,473,15.1073,15.5,11.25,18.75,28.25
given_name,2014,DH,Đang,193,13.443,13.25,9.5,16.75,27.0
given_name,2014,DH,Điền,436,12.8601,12.625,9.5,16.0625,24.0
given_name,2014,DH,Điều,88,13.2415,12.875,9.9375,15.5625,24.75
given_name,2014,DH,Điểm,149,12.8322,12.0,10.0,15.75,24.75
given_name,2014,DH,Điển,31,11.7742,11.75,6.875,15.5,22.25
given_name,2014,DH,Điện,52,13.6875,13.625,10.1875,17.0,22.25
given_name,2014,DH,Điệp,933,13.082,12.75,9.5,16.25,25.25
given_name,2014,DH,Đoan,427,13.8214,14.0,10.5,17.0,24.5
given_name,2014,DH,Đoàn,575,13.4774,13.25,9.75,16.75,27.0
given_name,2014,DH,Đà,34,13.4485,13.25,8.8125,17.6875,27.5
given_name,2014,DH,Đài,260,13.1442,13.0,10.25,16.0,25.25
given_name,2014,DH,Đàn,43,13.2907,12.5,10.25,16.125,25.25
given_name,2014,DH,Đào,1767,13.5033,13.25,10.5,16.5,27.5
given_name,2014,DH,Đình,227,12.9703,12.75,9.75,15.75,24.5
given_name,2014,DH,Đính,48,14.2969,15.0,10.5625,17.3125,23.0
given_name,2014,DH,Đô,415,12.6693,12.5,9.25,16.0,27.25
given_name,2014,DH,Đôn,102,13.049,13.25,9.0,17.1875,22.5
given_name,2014,DH,Đông,1770,13.4387,13.25,9.75,16.75,27.75
given_name,2014,DH,Đăng,1361,14.2412,14.0,10.75,17.75,27.75
given_name,2014,DH,Đương,113,12.708,13.0,9.25,16.0,26.0
given_name,2014,DH,Đường,135,13.4648,13.5,9.5,16.875,24.25
given_name,2014,DH,Được,255,12.7765,12.0,9.5,15.75,25.25
given_name,2014,DH,Đại,1421,13.7373,13.75,10.0,16.75,28.75
given_name,2014,DH,Đạm,31,13.5161,13.0,11.375,16.125,24.0
given_name,2014,DH,Đạo,472,13.8898,13.75,10.25,17.0,26.25
given_name,2014,DH,Đạt,8065,13.8983,13.75,10.5,17.0,28.0
given_name,2014,DH,Đảm,63,12.8968,12.25,10.125,16.375,22.0
given_name,2014,DH,Đảng,30,13.125,13.875,9.0625,15.625,22.75
given_name,2014,DH,Đầy,31,11.7339,10.5,8.375,14.0,20.5
given_name,2014,DH,Đắc,63,13.6429,14.0,10.125,17.25,21.5
given_name,2014,DH,Đằng,37,12.1486,11.25,9.0,15.25,21.25
given_name,2014,DH,Đẳng,42,12.6369,11.625,8.625,16.5,24.0
given_name,2014,DH,Đặng,66,14.1098,14.0,10.75,17.1875,24.25
given_name,2014,DH,Đẹp,86,12.0087,12.5,9.0,14.4375,23.75
given_name,2014,DH,Đến,30,12.15,11.75,8.0625,15.5,20.5
given_name,2014,DH,Đệ,111,12.3761,12.25,8.875,15.375,24.25
given_name,2014,DH,Đỉnh,117,13.5171,13.25,10.75,16.5,24.5
given_name,2014,DH,Định,880,13.277,13.0,9.75,16.25,26.5
given_name,2014,DH,Đồng,490,13.3077,13.0,9.75,16.6875,24.75
given_name,2014,DH,Độ,139,13.6385,13.5,9.875,17.0,24.25
given_name,2014,DH,Đủ,39,12.2821,12.0,9.25,15.5,20.5
given_name,2014,DH,Đức,7959,14.0452,14.0,10.5,17.25,29.0
given_name,2014,DH,Ước,70,13.65,13.25,9.8125,16.5,25.75
given_name,2014,DH,ảnh,57,13.8202,13.25,10.5,18.25,23.25
given_name,2014,DH,ấn,35,12.5429,12.0,9.75,14.5,23.0
given_name,2014,DH,ẩn,71,12.669,13.5,9.5,15.625,21.25
