year,province_code,province_name,region,subject,subject_label,count,mean,std,share_ge_8,share_ge_10,share_lt_5
2017,19,Bắc Ninh,Miền Bắc,DiaLy,Địa lí,8438,6.1584,1.4402,0.11649680018961839,0.0008295804693055226,0.18855178952358378
2017,19,Bắc Ninh,Miền Bắc,GDCD,GDCD,7225,7.8211,1.0128,0.5313494809688581,0.0005536332179930796,0.009550173010380622
2017,19,Bắc Ninh,Miền Bắc,HoaHoc,Hóa học,5248,6.1155,2.0482,0.23608993902439024,0.011814024390243903,0.31116615853658536
2017,19,Bắc Ninh,Miền Bắc,LichSu,Lịch sử,8572,4.5197,1.4655,0.027064862342510498,0.0002333177788147457,0.6350909939337378
2017,19,Bắc Ninh,Miền Bắc,NgoaiNgu,Ngoại ngữ,12036,4.3136,1.6932,0.05633100697906281,0.0006646726487205051,0.7280658025922233
2017,19,Bắc Ninh,Miền Bắc,NguVan,Ngữ văn,13310,4.9217,1.4193,0.016829451540195342,0.0,0.48459804658151767
2017,19,Bắc Ninh,Miền Bắc,SinhHoc,Sinh học,5045,4.7524,1.4757,0.05292368681863231,0.0009910802775024777,0.6156590683845391
2017,19,Bắc Ninh,Miền Bắc,Toan,Toán,13594,5.3846,2.1581,0.17169339414447551,0.0009563042518758275,0.4776371928792114
2017,19,Bắc Ninh,Miền Bắc,VatLy,Vật lí,5228,6.2118,1.7305,0.19070390206579954,0.00038255547054322876,0.23622800306044375
2017,2,TP. Hồ Chí Minh,Miền Nam,DiaLy,Địa lí,22317,6.3716,1.4294,0.13272393242819375,0.00022404445041896313,0.13075234126450688
2017,2,TP. Hồ Chí Minh,Miền Nam,GDCD,GDCD,18623,8.0019,1.0053,0.6085485689738496,0.0008054556193953713,0.006497341996455995
2017,2,TP. Hồ Chí Minh,Miền Nam,HoaHoc,Hóa học,48808,5.4096,1.7754,0.10238075725290936,0.0028478937879036223,0.4194804130470415
2017,2,TP. Hồ Chí Minh,Miền Nam,LichSu,Lịch sử,23122,4.7173,1.4911,0.02434910474872416,4.3248853905371505e-05,0.568333189170487
2017,2,TP. Hồ Chí Minh,Miền Nam,NgoaiNgu,Ngoại ngữ,62393,5.9583,1.9597,0.20342025547737727,0.0034298719407625856,0.34220184956645777
2017,2,TP. Hồ Chí Minh,Miền Nam,NguVan,Ngữ văn,67619,5.8349,1.0548,0.018027477484139073,0.0,0.16462828494949644
2017,2,TP. Hồ Chí Minh,Miền Nam,SinhHoc,Sinh học,47482,4.8896,1.4596,0.04839728739311739,0.0011793942967861506,0.5549050166378838
2017,2,TP. Hồ Chí Minh,Miền Nam,Toan,Toán,70971,5.903,1.7103,0.13495653154105197,0.0002677149821758183,0.2888221949810486
2017,2,TP. Hồ Chí Minh,Miền Nam,VatLy,Vật lí,48255,5.5232,1.5483,0.06525748627085276,8.289296445964148e-05,0.34690705626359963
2017,21,Hải Dương,Miền Bắc,DiaLy,Địa lí,11378,6.4748,1.4007,0.1564422569871682,0.0015820003515556336,0.13200914044647566
2017,21,Hải Dương,Miền Bắc,GDCD,GDCD,9522,7.9207,0.9367,0.575299306868305,0.0005250997689561017,0.004725897920604915
2017,21,Hải Dương,Miền Bắc,HoaHoc,Hóa học,8137,5.8013,2.0443,0.18422022858547377,0.005038712056040309,0.35873171930686987
2017,21,Hải Dương,Miền Bắc,LichSu,Lịch sử,11543,4.555,1.4663,0.02884865286320714,0.00043316295590401107,0.6257472060989344
2017,21,Hải Dương,Miền Bắc,NgoaiNgu,Ngoại ngữ,15777,4.2879,1.7757,0.06382709006782024,0.0022184192178487674,0.7305571401407112
2017,21,Hải Dương,Miền Bắc,NguVan,Ngữ văn,17764,5.7183,1.3746,0.04503490204908804,0.0,0.24262553478946183
2017,21,Hải Dương,Miền Bắc,SinhHoc,Sinh học,7862,4.7395,1.5796,0.06118036123123887,0.0021622996692953447,0.6109132536250318
2017,21,Hải Dương,Miền Bắc,Toan,Toán,18255,5.4083,2.0566,0.1534921939194741,0.0003834565872363736,0.44842508901670775
2017,21,Hải Dương,Miền Bắc,VatLy,Vật lí,8009,5.6703,1.8474,0.13010363341241105,0.00037457859907603946,0.3508552878012236
2017,22,Hưng Yên,Miền Bắc,DiaLy,Địa lí,8108,6.2916,1.4195,0.12839171188949186,0.002096694622594968,0.16218549580661076
2017,22,Hưng Yên,Miền Bắc,GDCD,GDCD,7253,7.6614,1.0156,0.45732800220598374,0.0002757479663587481,0.011167792637529298
2017,22,Hưng Yên,Miền Bắc,HoaHoc,Hóa học,5643,5.4402,2.231,0.17579301789828106,0.007974481658692184,0.45879851143009037
2017,22,Hưng Yên,Miền Bắc,LichSu,Lịch sử,8222,4.4413,1.4956,0.03004135246898565,0.00024324981756263683,0.6623692532230601
