year,segment,subject,subject_label,count,mean,share_ge_8,share_le_1
2026,main,DiaLy,Địa lí,443885,5.1009,0.04135305315565969,0.00022978924721493179
2026,main,HoaHoc,Hóa học,250803,6.2844,0.17851461106924557,4.784631762777957e-05
2026,main,KinhTePhapLuat,Kinh tế và pháp luật,282519,5.023,0.01249473486738945,5.309377422403449e-05
2026,main,LichSu,Lịch sử,565056,6.1905,0.18682927001925473,1.2388152678672557e-05
2026,main,NgoaiNgu,Ngoại ngữ,344227,5.0926,0.07378270734137647,0.00018011370403832355
2026,main,NguVan,Ngữ văn,1197227,6.4972,0.13563760255991553,0.00013113636762284846
2026,main,SinhHoc,Sinh học,68923,5.837,0.12634389100880694,0.0
2026,main,TinHoc,Tin học,18264,6.0728,0.13146079719667106,0.0
2026,main,Toan,Toán,1192437,5.6516,0.1563302715363579,0.00021217053815002386
2026,main,VatLy,Vật lí,385930,5.5587,0.1083538465524836,2.591143471614023e-05
