year,subject,subject_label,count,mean,std,min,p05,p25,median,p75,p95,max,p90,share_ge_8,share_ge_9,share_ge_10,count_10,share_lt_5,share_le_1,skew,excess_kurtosis,normality_distance
2021,HoaHoc,Hóa học,350993,6.6329,1.593,0.0,3.75,5.5,7.0,7.75,8.75,10.0,8.5,0.24830979535204406,0.03176986435626921,0.0004302080098463502,151,0.16206591014635618,0.00016524546073568418,-0.6451,-0.2663,0.9114268592059838
2021,LichSu,Lịch sử,642454,4.9769,1.7704,0.0,2.5,3.5,4.75,6.25,8.25,10.0,7.5,0.07096383554308947,0.018426221955190565,0.0004358288686816488,280,0.519330566857705,0.0008467532305814891,0.3833,-0.5263,0.9095640948825359
2021,NgoaiNgu,Ngoại ngữ,879035,5.8511,2.2106,0.0,2.6,4.0,5.6,7.8,9.4,10.0,9.0,0.24170141120660724,0.11813750305732991,0.005220497477347318,4589,0.40073944723475174,0.00016609122503654576,0.1484,-1.1697,1.3181477494459175
2021,NguVan,Ngữ văn,986390,6.4746,1.3637,0.0,4.0,5.75,6.5,7.5,8.5,10.0,8.0,0.15020833544541207,0.015509078559190584,3.0413933636796804e-06,3,0.11999006478167865,0.00017538701730552823,-0.6062,0.3809,0.987100621841511
2021,SinhHoc,Sinh học,345515,5.5196,1.4419,0.0,3.25,4.5,5.5,6.5,8.25,10.0,7.5,0.06548196170933245,0.02022488169833437,0.0016960189861511077,586,0.3440140080749027,0.00021996150673632113,0.3592,0.1075,0.4666109326287686
2021,Toan,Toán,989344,6.6176,1.6777,0.0,3.4,5.6,7.0,8.0,8.8,10.0,8.6,0.2595972684930621,0.039293713814406314,5.963547562829511e-05,59,0.17368478506970275,0.00012129249280331209,-0.6535,-0.2815,0.9349111178769588
2021,VatLy,Vật lí,349344,6.5729,1.3934,0.0,4.0,5.75,6.75,7.75,8.5,10.0,8.25,0.18485218008610424,0.01419517724649629,4.293762022533663e-05,15,0.13004087661445451,7.156270037556106e-05,-0.5737,-0.1181,0.6918439207654951
2022,DiaLy,Địa lí,657421,6.6779,1.215,0.0,4.75,5.75,6.75,7.5,8.5,10.0,8.25,0.1672687668936648,0.026394045824517317,0.00024793853558070095,163,0.07298975846527568,5.780162179181985e-05,-0.2478,-0.0221,0.26994163506712676
2022,GDCD,GDCD,554343,8.0333,1.0673,0.0,6.0,7.5,8.25,8.75,9.5,10.0,9.25,0.6185015414644002,0.22366477072859223,0.005115966107626505,2836,0.010320325141654174,5.051024365780753e-05,-0.9337,1.3759,2.309512954185423
2022,HoaHoc,Hóa học,327367,6.7039,1.6004,0.0,3.75,5.5,7.0,8.0,8.75,10.0,8.5,0.27872693338057897,0.04786065791603918,0.0004826387510042246,158,0.1524191503725177,0.00012218702557068977,-0.5562,-0.3676,0.9238660296196364
2022,LichSu,Lịch sử,659662,6.3439,1.6129,0.0,3.5,5.25,6.5,7.5,8.75,10.0,8.5,0.18130648726165824,0.04729998089930904,0.002696835652197641,1779,0.19335962962850672,0.00012127422831692594,-0.2449,-0.4328,0.6776728265192073
2022,NgoaiNgu,Ngoại ngữ,870609,5.1577,1.9495,0.0,2.4,3.6,4.8,6.6,8.8,10.0,8.2,0.1209004271722438,0.03983992814225445,0.0006374847951261703,555,0.5138908511168618,0.000480123683536467,0.439,-0.7069,1.1458797300019885
2022,NguVan,Ngữ văn,981407,6.5077,1.3796,0.0,4.0,5.58,6.5,7.5,8.5,10.0,8.25,0.16972367223791965,0.024611603544706734,5.0947262450746735e-06,5,0.11616485311394763,0.00019767537830889733,-0.4459,0.1132,0.5590162129663048
2022,SinhHoc,Sinh học,322198,5.0191,1.4483,0.0,3.0,4.0,4.75,6.0,7.75,10.0,7.0,0.045900346991601434,0.006700848546545912,1.5518407935493083e-05,5,0.5078864549128176,0.0002855387060130727,0.4994,-0.0315,0.5308570684327585
2022,Toan,Toán,982726,6.4663,1.6754,0.0,3.2,5.4,6.8,7.8,8.6,10.0,8.4,0.21849121728742293,0.022133331162501043,3.561521726300108e-05,35,0.18949330739188747,0.0001668827323180622,-0.6593,-0.2786,0.937881260399933
2022,VatLy,Vật lí,325523,6.7238,1.4419,0.0,4.0,5.75,7.0,7.75,8.75,10.0,8.5,0.2274647259947838,0.04406447470685635,0.00047308485114723074,154,0.11687346209023633,6.75835501638901e-05,-0.5039,-0.0897,0.593641955277554
2023,DiaLy,Địa lí,682134,6.1475,1.1687,0.0,4.25,5.5,6.25,7.0,8.0,10.0,7.5,0.06641217121562626,0.008697704556582725,5.130956674201843e-05,35,0.13351189062559557,0.00016419061357445897,-0.1533,0.2521,0.40542414405463073
2023,GDCD,GDCD,565452,8.2858,1.1376,0.0,6.25,7.75,8.5,9.25,9.75,10.0,9.5,0.6895474770625977,0.354528766367437,0.025984522116819817,14693,0.00971258391516875,4.598091438353742e-05,-0.9745,1.2226,2.197055442202204
2023,HoaHoc,Hóa học,328118,6.7446,1.4285,0.0,4.0,5.75,7.0,7.75,8.75,10.0,8.5,0.22669893148196685,0.03424987352111131,0.0004175327168884365,137,0.11695792367380028,4.266757690830738e-05,-0.6289,0.0501,0.6790591699422963
2023,LichSu,Lịch sử,683447,6.0256,1.5529,0.0,3.5,5.0,6.0,7.25,8.5,10.0,8.0,0.13070655076399487,0.030632953250215453,0.0011544421147506683,789,0.2490858837627497,5.560050742778884e-05,0.0294,-0.5515,0.5809315777733068
2023,NgoaiNgu,Ngoại ngữ,880997,5.4624,1.9664,0.0,2.6,4.0,5.2,7.0,9.0,10.0,8.4,0.151843876880398,0.053770898198291256,0.0006299680929673995,555,0.4468721232875935,0.0002179349078373706,0.3051,-0.8561,1.1612047530543352
2023,NguVan,Ngữ văn,1008239,6.8582,1.3265,0.0,4.5,6.0,7.0,7.75,8.75,10.0,8.5,0.24422185612736663,0.04302948011334614,9.91828326418637e-07,1,0.07305410721069111,9.12482060305146e-05,-0.5351,0.25,0.7850440398274339
2023,SinhHoc,Sinh học,324625,6.3949,1.2068,0.0,4.25,5.5,6.5,7.25,8.25,10.0,8.0,0.10570350404312669,0.016791682710820176,0.00041586445899114365,135,0.10397843665768194,0.00011089718906430496,-0.1818,0.1601,0.3418436384211627
2023,Toan,Toán,1003373,6.2506,1.6333,0.0,3.2,5.2,6.6,7.6,8.4,10.0,8.2,0.15164649636775157,0.010006248922384796,1.1959660066595374e-05,12,0.21636420354145466,0.00012258651568260257,-0.5958,-0.4019,0.9976468566070097
2023,VatLy,Vật lí,327189,6.5739,1.4868,0.0,4.0,5.5,6.75,7.75,8.75,10.0,8.25,0.21317036941950981,0.029658698794886137,0.00021394362279905497,70,0.14786560672883256,7.029576177683235e-05,-0.4509,-0.3784,0.8292996741350382
2024,DiaLy,Địa lí,704682,7.1935,1.2839,0.0,5.0,6.5,7.25,8.0,9.25,10.0,8.75,0.3100902250944398,0.09198475340650109,0.004505578402740527,3175,0.04363244697608283,0.00010926914551528208,-0.3981,0.2605,0.6586628131889869
2024,GDCD,GDCD,583609,8.1565,1.0426,0.0,6.25,7.5,8.25,9.0,9.5,10.0,9.25,0.6583551658730417,0.2714471504037806,0.006273035542632139,3661,0.007743197928750242,4.112342338791897e-05,-0.9454,1.4241,2.3694826006256653
2024,HoaHoc,Hóa học,346518,6.6808,1.6415,0.0,3.75,5.5,6.75,8.0,9.0,10.0,8.75,0.2693453153948713,0.07582290097484114,0.0036881200976572647,1278,0.1586497671116652,4.9059500516567685e-05,-0.3524,-0.549,0.9013719936997451
2024,LichSu,Lịch sử,706214,6.5703,1.4628,0.0,4.0,5.5,6.5,7.5,9.0,10.0,8.5,0.19616291945500938,0.05789321650377931,0.0029849309132925716,2108,0.13042222329208994,2.8320027640346978e-05,-0.1242,-0.3427,0.46694176678443955
2024,NgoaiNgu,Ngoại ngữ,912705,5.5219,1.8807,0.0,2.8,4.0,5.2,7.0,8.8,10.0,8.4,0.14624988358779673,0.04405037772336078,0.0007066905517116702,645,0.42503985406018374,0.00014681633167343226,0.2909,-0.7845,1.0754109485925618
2024,NguVan,Ngữ văn,1050101,7.2311,1.3301,0.0,4.75,6.5,7.5,8.25,9.0,10.0,8.75,0.35985014774769286,0.08766109164737487,1.904578702429576e-06,2,0.05065607974851943,5.6185071721672484e-05,-0.7361,0.5686,1.3046312719605115
2024,SinhHoc,Sinh học,342378,6.2841,1.2448,0.0,4.25,5.5,6.25,7.25,8.25,10.0,8.0,0.10058473383219717,0.010587712995577987,9.930544602749009e-05,34,0.13396888818790928,0.00014311667221608866,-0.1891,-0.133,0.3221023176251431
2024,Toan,Toán,1045613,6.4473,1.5569,0.0,3.4,5.4,6.8,7.6,8.6,9.8,8.2,0.18973750326363578,0.01118769563882622,0.0,0,0.17493565975174372,5.929536071185037e-05,-0.6358,-0.2287,0.8644750498779935
2024,VatLy,Vật lí,345615,6.6669,1.6311,0.0,3.5,5.5,7.0,8.0,8.75,10.0,8.5,0.2724013714682523,0.04297556529664511,0.00015913661154753122,55,0.16344198023812623,0.00014177625392416417,-0.6142,-0.3476,0.9618321090388022
2025,CongNgheCongNghiep,Công nghệ công nghiệp,2290,5.7926,1.5395,2.3,3.6,4.55,5.6,7.0,8.5,10.0,8.0,0.11222707423580786,0.028820960698689956,0.0017467248908296944,4,0.3406113537117904,0.0,0.3634,-0.6093,0.9726366775176891
2025,CongNgheNongNghiep,Công nghệ nông nghiệp,22048,7.7159,1.1705,1.55,5.6,7.0,7.75,8.5,9.25,10.0,9.0,0.4879807692307692,0.1575653120464441,0.004580914368650217,101,0.021453193033381713,0.0,-0.7554,0.8786,1.633940134063793
2025,DiaLy,Địa lí,489581,6.6429,1.7501,0.0,3.7,5.35,6.75,8.0,9.5,10.0,9.0,0.2702555858989626,0.11385450007251098,0.014342876868179116,7022,0.18466607160000081,6.536201364023522e-05,-0.1581,-0.6901,0.8482471579373523
2025,GDCD,GDCD,4099,7.6978,1.5322,0.0,4.75,7.0,8.0,8.75,9.5,10.0,9.25,0.523298365454989,0.23859477921444255,0.008294706025859966,34,0.05171993169065626,0.0034154671871188093,-1.2978,2.6067,3.904445950973266
2025,HoaHoc,Hóa học,244283,6.0698,1.8122,0.0,3.25,4.75,6.0,7.5,9.25,10.0,8.75,0.19372612912073292,0.07400433104227473,0.002566695185502061,627,0.2944167215893042,4.9123352832575335e-05,0.0922,-0.7972,0.8893869306859594
2025,KinhTePhapLuat,Kinh tế và pháp luật,246401,7.6914,1.1809,1.25,5.5,7.0,7.75,8.5,9.25,10.0,9.0,0.49116683779692455,0.14303107536089546,0.005888774802050316,1451,0.025665480253732737,0.0,-0.8074,0.8587,1.6661247913349615
2025,LichSu,Lịch sử,495165,6.5149,1.6443,0.0,3.75,5.25,6.5,7.75,9.0,10.0,8.75,0.23145618127290904,0.07032807246069492,0.003326164005937415,1647,0.18845031454161745,4.442963456625569e-05,-0.1868,-0.65,0.8367919530652768
